"cellName" "embryoStage" "embryo" "cellCategory" "cluster" "fsc" "ssc"
"SLX.8344.N710_N504" "HF" "ID2_1" "HF-CD41+Flk1+" "brown" 38405 26101
"SLX.8344.N710_N505" "HF" "ID2_1" "HF-CD41+Flk1+" "brown" 35555 14022
"SLX.8344.N710_N506" "NP" "ID2_4" "NP-CD41+Flk1+" "brown" 42555 22405
"SLX.8344.N710_N507" "NP" "ID2_4" "NP-CD41+Flk1+" "red" 24483 10804
"SLX.8344.N710_N508" "NP" "ID2_5" "NP-CD41+Flk1+" "brown" 22065 26439
"SLX.8344.N711_N501" "HF" "ID2_1" "HF-CD41+Flk1+" "brown" 41254 23488
"SLX.8344.N711_N502" "HF" "ID2_1" "HF-CD41+Flk1+" "brown" 37312 17048
"SLX.8344.N711_N504" "HF" "ID2_1" "HF-CD41+Flk1+" "brown" 45166 16043
"SLX.8344.N711_N505" "HF" "ID2_1" "HF-CD41+Flk1+" "brown" 49520 23621
"SLX.8344.N711_N506" "NP" "ID2_4" "NP-CD41+Flk1+" "red" 34657 11813
"SLX.8344.N711_N507" "NP" "ID2_4" "NP-CD41+Flk1+" "brown" 39326 19826
"SLX.8344.N711_N508" "NP" "ID2_6" "NP-CD41+Flk1+" "brown" 24828 22212
"SLX.8344.N712_N501" "HF" "ID2_1" "HF-CD41+Flk1+" "brown" 52962 18187
"SLX.8344.N712_N502" "HF" "ID2_1" "HF-CD41+Flk1+" "brown" 28235 11597
"SLX.8344.N712_N503" "HF" "ID2_3" "HF-CD41+Flk1+" "brown" 36258 19229
"SLX.8344.N712_N504" "HF" "ID2_1" "HF-CD41+Flk1+" "brown" 43232 17226
"SLX.8344.N712_N505" "HF" "ID2_3" "HF-CD41+Flk1+" "yellow" 18302 25120
"SLX.8344.N712_N506" "NP" "ID2_5" "NP-CD41+Flk1+" "brown" 40212 17735
"SLX.8344.N712_N507" "NP" "ID2_4" "NP-CD41+Flk1+" "yellow" 39308 19173
"SLX.8344.N712_N508" "NP" "ID2_6" "NP-CD41+Flk1+" "red" 20977 14094
"SLX.8345.N701_N501" "HF" "ID2_7" "HF-CD41+Flk1-" "brown" 38207 10567
"SLX.8345.N701_N502" "HF" "ID2_7" "HF-CD41+Flk1-" "brown" 34002 10146
"SLX.8345.N701_N503" "HF" "ID2_7" "HF-CD41+Flk1-" "brown" 39811 19004
"SLX.8345.N701_N506" "NP" "ID2_9" "NP-CD41+Flk1-" "brown" 36758 14946
"SLX.8345.N701_N507" "NP" "ID2_10" "NP-CD41+Flk1-" "brown" 37014 14630
"SLX.8345.N701_N508" "NP" "ID2_10" "NP-CD41+Flk1-" "brown" 39885 12017
"SLX.8345.N702_N501" "HF" "ID2_7" "HF-CD41+Flk1-" "brown" 36130 15258
"SLX.8345.N702_N502" "NP" "ID2_8" "NP-CD41+Flk1-" "brown" 38042 20044
"SLX.8345.N702_N503" "HF" "ID2_7" "HF-CD41+Flk1-" "brown" 43340 27200
"SLX.8345.N702_N504" "NP" "ID2_8" "NP-CD41+Flk1-" "brown" 25642 18259
"SLX.8345.N702_N506" "NP" "ID2_9" "NP-CD41+Flk1-" "brown" 35356 14235
"SLX.8345.N702_N507" "NP" "ID2_10" "NP-CD41+Flk1-" "brown" 34488 22432
"SLX.8345.N703_N501" "HF" "ID2_7" "HF-CD41+Flk1-" "brown" 28764 18186
"SLX.8345.N703_N502" "HF" "ID2_7" "HF-CD41+Flk1-" "brown" 47021 25847
"SLX.8345.N703_N503" "HF" "ID2_7" "HF-CD41+Flk1-" "brown" 44491 19935
"SLX.8345.N703_N504" "NP" "ID2_8" "NP-CD41+Flk1-" "brown" 39400 24591
"SLX.8345.N703_N506" "NP" "ID2_9" "NP-CD41+Flk1-" "brown" 31420 12543
"SLX.8345.N703_N507" "NP" "ID2_10" "NP-CD41+Flk1-" "brown" 30973 13364
"SLX.8345.N703_N508" "NP" "ID2_10" "NP-CD41+Flk1-" "brown" 36393 14462
"SLX.8345.N704_N501" "HF" "ID2_7" "HF-CD41+Flk1-" "brown" 36789 21096
"SLX.8345.N704_N502" "HF" "ID2_7" "HF-CD41+Flk1-" "brown" 44557 25334
"SLX.8345.N704_N503" "HF" "ID2_7" "HF-CD41+Flk1-" "darkorange" 36121 22878
"SLX.8345.N704_N504" "NP" "ID2_8" "NP-CD41+Flk1-" "brown" 17622 15264
"SLX.8345.N704_N506" "NP" "ID2_9" "NP-CD41+Flk1-" "brown" 48682 23092
